Title,Word count,Sentence count,Unique words,Unique words (stemmed),Average word length,Average sentence length,Lexical diversity,Noun%,Verb%,Adjective%,Adverb%,Pronoun%,Average sentence tree depth
Soldiers' Pay,89227,7085,7893,5687,4.266959552601791,12.59378969654199,0.06373631299942842,0.2153944433859706,0.23214946148587312,0.08086117430822509,0.07303843007161509,0.14048438252995168,3.208206527442544
Mosquitoes,100912,7388,8770,6290,4.352792532107182,13.658906334596644,0.06233153638814016,0.22097471063897256,0.21365149833518313,0.08135801490407484,0.07593745045187887,0.12343427937212621,3.3690261947610476
Flags in the Dust,129031,6336,11159,7944,4.352899690771985,20.364741161616163,0.06156660027435267,0.23764831707109144,0.19251962706636389,0.07921352233184274,0.06786741170726415,0.1061217846874007,4.47304347826087
The Sound and the Fury,102482,7224,6812,5124,3.94974727269179,14.186323366555925,0.04999902421888722,0.21580375090259754,0.24608223883218516,0.06590425635721395,0.0709685603325462,0.12489998243593997,3.3144413069786203
As I Lay Dying,56898,3867,4251,3113,3.8568139477661783,14.713731574864235,0.05471194066575275,0.20410207740166614,0.2416077893774825,0.05926394600864705,0.07318359169039333,0.13074273260923056,3.685459940652819
Sanctuary,79385,5969,6532,4932,4.141840398060087,13.299547662925113,0.062127605970901306,0.2298167160042829,0.21802607545506078,0.06464697360962399,0.060741953769603826,0.12166026327391824,3.6379463718388614
Light in August,151772,8986,8529,6076,4.111614790606963,16.88982862230136,0.040033734812745435,0.18374271934217115,0.2282963919563556,0.06149355612365917,0.08728882797881032,0.12832406504493582,4.191943127962086
Pylon,84917,3778,7515,5727,4.24534545497368,22.476707252514558,0.06744232603601164,0.20812087096812182,0.2113004463181695,0.06386235971595794,0.0784059728911761,0.10351284195155269,4.344492238638489
Absalom! Absalom!,133330,2865,9941,7255,4.308835220880522,46.53752181500872,0.05441386034650866,0.19360984024600614,0.2120453011325283,0.06591164779119478,0.08845721143028576,0.10228005700142503,7.179451675436168
The Unvanquished,68996,3982,5009,3830,4.0573656443851815,17.326971371170266,0.05551046437474636,0.20080874253579917,0.228911820975129,0.059032407675807294,0.08238158733839643,0.11394863470346107,4.628314157078539
The Wild Palms,96474,4165,9168,6769,4.285579534382321,23.163025210084033,0.07016398200551444,0.20515372017331093,0.20598295913924997,0.06953168729398594,0.08485187718970914,0.10559321682525862,4.46451725950587
The Hamlet,140472,7764,10159,7312,4.255616777720827,18.09273570324575,0.052053078193518995,0.20574206959394042,0.2100632154450709,0.0649951591776297,0.08398826812460847,0.10625605102796287,5.04299424184261
"Go Down, Moses",111954,4613,8414,6215,4.196151990996302,24.269239106871883,0.05551387176876217,0.20716544294978295,0.2053879271843793,0.0704039158940279,0.08727691730532183,0.10745484752666273,4.610366252452583
Intruder in the Dust,75682,1461,7061,5326,4.2795644935387545,51.80150581793292,0.07037340450833751,0.20551782458180282,0.19244998810813668,0.06877460955048757,0.0978303956026532,0.0981739383208689,5.948796498905908
Requiem for a Nun,57339,2350,7416,5770,4.433683880081619,24.399574468085106,0.10062958893597726,0.2243673590400949,0.18856275833202532,0.07928286157763477,0.08884005650604301,0.08277088892376916,4.531211750305998
A Fable,159735,5043,12365,9026,4.397013804113063,31.674598453301606,0.056506088208595484,0.20434469590258866,0.19059066579021505,0.07321501236422825,0.09275988355714151,0.0946129527029142,5.293961201501878
The Town,127332,4871,8516,6352,4.187022900763359,26.140833504413877,0.04988533911349857,0.20558068670876134,0.21585304558162913,0.06834102974900261,0.09418685012408506,0.10394873244746018,4.789713245334547
The Mansion,156494,7300,10583,7818,4.227005508198397,21.437534246575343,0.0499571868570041,0.1999629378762125,0.21619359208659758,0.07230309149232558,0.09598451058826536,0.10510307104425728,5.142100977198697
The Reivers,96712,6380,7247,5497,4.117979154603359,15.158620689655173,0.05683886177516751,0.20692364959880882,0.23135701877740095,0.06819215816031103,0.09666845892960543,0.10573662006783026,4.129543336439888
