Title,Word count,Sentence count,Unique words,Unique words (stemmed),Average word length,Average sentence length,Lexical diversity,Noun%,Verb%,Adjective%,Adverb%,Pronoun%,Average sentence tree depth
This Side of Paradise,80459,5393,10563,7741,4.484520066,14.91915446,0.096210492,0.234044669,0.199356194,0.095974347,0.069364521,0.095551772,4.656334475
The Beautiful and Damned,123402,8145,13318,9467,4.549059172,15.15064457,0.076716747,0.22602551,0.200701771,0.089479911,0.069139884,0.101635306,4.765471924
The Great Gatsby,48173,3461,6258,4825,4.284536981,13.91880959,0.100159841,0.231146078,0.200527266,0.083781371,0.065825255,0.102277209,4.436188315
Tender Is the Night,108028,5065,12133,8917,4.408523716,21.32833169,0.082543415,0.22197023,0.208084941,0.083644981,0.066658644,0.107027808,4.468794418
The Sun Also Rises,67677,5638,4998,3789,3.98147081,12.00372473,0.055986524,0.220961331,0.234732627,0.069329314,0.06671395,0.103373376,3.110681955
For Whom the Bell Tolls,174208,11864,8564,6038,4.025670463,14.68374916,0.034659717,0.200059699,0.231011205,0.065863795,0.075610764,0.114983238,3.606101363
The Old Man and the Sea,26588,1664,2513,1944,3.842673386,15.97836538,0.073115691,0.190386641,0.21799308,0.07149842,0.078268392,0.120543102,4.203450025
Their Eyes Were Watching God,60518,4074,5609,4313,3.966357117,14.85468827,0.071268052,0.24921511,0.212763145,0.098235236,0.066079514,0.107125153,3.844873757
Dubliners,67470,4690,7547,5670,4.232992441,14.38592751,0.08403735,0.231732622,0.208329628,0.077012005,0.06183489,0.114258189,4.690778342
A Portrait of the Artist as a Young Man,84781,5368,9205,6766,4.268963565,15.79377794,0.079805617,0.236456281,0.193970347,0.075748104,0.055967729,0.103737866,4.982937685
Ulysses,264823,22725,29764,21489,4.470321687,11.65337734,0.081144765,0.278536985,0.183798235,0.09100418,0.053609392,0.091328925,3.795685864
Lolita,108920,5182,15234,11148,4.47691884,21.01891162,0.102350349,0.250569225,0.190084466,0.10332354,0.063973559,0.083575101,5.67146145
Pale Fire,78966,3013,13117,9684,4.555745511,26.20843014,0.122635058,0.258870906,0.176898919,0.099042626,0.056340704,0.072550211,6.311155721
Wise Blood,51935,3033,4291,3262,3.96147107,17.12331025,0.062809281,0.199480119,0.226995283,0.055068836,0.059516704,0.136420526,4.357853403
A Good Man Is Hard to Find,75034,4019,6093,4465,4.093744169,18.66981836,0.059506357,0.204547272,0.222818989,0.066609804,0.060026121,0.127395581,4.422719515
Gravitys Rainbow,326213,25396,30124,21227,4.571709282,12.84505434,0.065070981,0.259253923,0.186614267,0.092025762,0.067600004,0.074074301,3.538117968
The Grapes of Wrath,178750,15122,10221,7435,3.98612028,11.82052639,0.041594406,0.245186014,0.216788811,0.074355245,0.064397203,0.10300979,3.138902103
Mrs Dalloway,63369,3505,7628,5594,4.425618204,18.07960057,0.088276602,0.216083574,0.218261295,0.073805804,0.073190361,0.117107734,4.540052356
To the Lighthouse,69302,3371,7199,5145,4.303021558,20.55829131,0.074240282,0.192995873,0.228319529,0.058786182,0.07572653,0.131338201,5.014095961
Orlando,78876,3256,9241,6489,4.347748365,24.22481572,0.082268371,0.226469395,0.195255845,0.0728612,0.064455601,0.095085958,5.836221837
The Waves,77770,4377,8965,6136,4.257245725,17.76787754,0.078899319,0.247113283,0.207277871,0.077754918,0.061823325,0.083566928,5.1443769
